pos	alt	dep	per_donor_median	n_donors	median_depth	surrogate	fixed_difference	min_detectable_af	chemistry
1	0	13361	0.0	19	612.0	0.0	False	0.0026264190673828125	polya
2	0	13534	0.0	19	619.0	0.0	False	0.0025968551635742188	polya
3	13	13615	0.0	19	623.0	0.0009548292324641939	False	0.016382217407226562	polya
4	7	14139	0.0	19	645.0	0.0004950845179998585	False	0.014037132263183594	polya
5	6	14186	0.0	19	646.0	0.0004229522064006767	False	0.012211799621582031	polya
6	9	14625	0.0	19	664.0	0.0006153846153846154	False	0.013636589050292969	polya
7	14	14758	0.0011792452830188679	19	670.0	0.0009486380268329042	False	0.01523590087890625	polya
8	8	15176	0.0	19	689.0	0.0005271481286241434	False	0.013142585754394531	polya
9	15	15338	0.0	19	697.0	0.0009779632285826052	False	0.016287803649902344	polya
10	22	15351	0.001201923076923077	19	698.0	0.0014331313920917205	False	0.017889976501464844	polya
11	7	15478	0.0	19	704.0	0.0004522548132833699	False	0.0128631591796875	polya
12	18	15641	0.0008818342151675485	19	712.0	0.0011508215587238667	False	0.0159454345703125	polya
13	11	15745	0.0	19	724.0	0.0006986344871387743	False	0.014101982116699219	polya
14	10	15813	0.0	19	728.0	0.0006323910706380826	False	0.012440681457519531	polya
15	4	16313	0.0	19	760.0	0.00024520321216207934	False	0.01038360595703125	polya
16	11	16621	0.0	19	781.0	0.0006618133686300463	False	0.013074874877929688	polya
17	15	17220	0.0	19	807.0	0.0008710801393728223	False	0.014072418212890625	polya
18	19	17517	0.001184834123222749	19	816.0	0.0010846606154021807	False	0.013916969299316406	polya
19	12	18138	0.0	19	843.0	0.0006615944426066821	False	0.012115478515625	polya
20	23	18384	0.0012836970474967907	19	853.0	0.001251087902523934	False	0.014646530151367188	polya
21	19	18577	0.0011001100110011	19	864.0	0.0010227700920493084	False	0.01314544677734375	polya
22	24	18641	0.0012594458438287153	19	866.0	0.0012874845770076712	False	0.01442718505859375	polya
23	40	18778	0.0022222222222222222	19	869.0	0.0021301523058898713	False	0.0169677734375	polya
24	33	18911	0.0012755102040816326	19	876.0	0.0017450161281793665	False	0.016832351684570312	polya
25	35	19042	0.0013812154696132596	19	879.0	0.0018380422224556245	False	0.016775131225585938	polya
26	20	19319	0.0	19	893.0	0.0010352502717531963	False	0.012720108032226562	polya
27	14	19735	0.0	19	909.0	0.000709399543957436	False	0.011237144470214844	polya
28	24	19942	0.0010131712259371835	19	922.0	0.0012034901213519205	False	0.013552665710449219	polya
29	13	20450	0.0	19	946.0	0.0006356968215158925	False	0.010798454284667969	polya
30	75	20478	0.0031645569620253164	19	948.0	0.00366246703779666	False	0.021404266357421875	polya
31	10	20793	0.0	19	961.0	0.00048093108257586686	False	0.009428977966308594	polya
32	72	20994	0.0030181086519114686	19	973.0	0.003429551300371535	False	0.019723892211914062	polya
33	14	21383	0.0007541478129713424	19	993.0	0.0006547257166908292	False	0.010288238525390625	polya
34	17	21709	0.0008741258741258741	19	1011.0	0.0007830853563038371	False	0.011237144470214844	polya
35	17	21803	0.0008032128514056225	19	1016.0	0.0007797092143283034	False	0.011182785034179688	polya
36	12	22008	0.0	19	1026.0	0.0005452562704471102	False	0.009958267211914062	polya
37	34	22123	0.0017079419299743809	19	1030.0	0.0015368620892284048	False	0.01432037353515625	polya
38	13	22553	0.0	19	1045.0	0.0005764199884716003	False	0.009777069091796875	polya
39	12	22738	0.0	19	1055.0	0.0005277509015744568	False	0.009684562683105469	polya
40	26	22908	0.0009149130832570906	19	1060.0	0.0011349746813340317	False	0.011791229248046875	polya
41	24	23420	0.0008488964346349745	19	1079.0	0.0010247651579846286	False	0.011583328247070312	polya
42	39	23529	0.001201923076923077	19	1084.0	0.0016575290067576182	False	0.013607978820800781	polya
43	23	23731	0.000864304235090752	19	1099.0	0.0009691964097593864	False	0.011373519897460938	polya
44	23	24069	0.0009009009009009009	19	1115.0	0.0009555860235157256	False	0.011210441589355469	polya
45	68	24342	0.003032600454890068	19	1128.0	0.0027935255936241887	False	0.017019271850585938	polya
46	70	24590	0.0025167785234899327	19	1138.0	0.0028466856445709637	False	0.016869544982910156	polya
47	23	24895	0.0009590792838874681	19	1154.0	0.0009238802972484435	False	0.010831832885742188	polya
48	28	24926	0.0009578544061302681	19	1155.0	0.001123325042124689	False	0.011800765991210938	polya
49	56	25066	0.0022813688212927757	19	1160.0	0.0022341019707970955	False	0.015597343444824219	polya
50	129	25101	0.0049261083743842365	19	1162.0	0.005139237480578463	False	0.02217388153076172	polya
51	115	25187	0.004136504653567736	19	1165.0	0.004565847460991782	False	0.021183013916015625	polya
52	44	25274	0.0017064846416382253	19	1172.0	0.0017409195220384585	False	0.01354217529296875	polya
53	29	25425	0.0009514747859181732	19	1182.0	0.0011406096361848575	False	0.011531829833984375	polya
54	31	25684	0.000966183574879227	19	1191.0	0.0012069771063697244	False	0.011444091796875	polya
55	24	25688	0.0007867820613690008	19	1191.0	0.0009342883836810962	False	0.010496139526367188	polya
56	39	25968	0.0016722408026755853	19	1204.0	0.0015018484288354898	False	0.012253761291503906	polya
57	27	26105	0.0009643201542912247	19	1210.0	0.001034284619804635	False	0.011264801025390625	polya
58	38	26204	0.001076426264800861	19	1214.0	0.0014501602808731492	False	0.01215362548828125	polya
59	30	26316	0.0009191176470588235	19	1223.0	0.0011399908800729594	False	0.011145591735839844	polya
60	40	26383	0.001448225923244026	19	1226.0	0.0015161278095743472	False	0.01294708251953125	polya
61	49	26538	0.0016246953696181965	19	1233.0	0.0018464089230537343	False	0.013775825500488281	polya
62	20	27133	0.0007077140835102619	19	1259.0	0.0007371097925035935	False	0.009027481079101562	polya
63	16	27223	0.0007230657989877079	19	1260.0	0.0005877383095176873	False	0.009019851684570312	polya
64	198	27939	0.005046863734679163	19	1295.0	0.007086867819177494	False	0.02491283416748047	polya
65	43	28090	0.001303780964797914	19	1297.0	0.0015307938768244927	False	0.012239456176757812	polya
66	24	28091	0.0008110300081103001	19	1297.0	0.0008543661670997829	False	0.009639739990234375	polya
67	21	28714	0.0008361204013377926	19	1331.0	0.0007313505607020966	False	0.009393692016601562	polya
68	19	29125	0.0006807351940095302	19	1347.0	0.0006523605150214592	False	0.0084381103515625	polya
69	17	29214	0.0006309148264984228	19	1349.0	0.0005819127815430957	False	0.008425712585449219	polya
70	23	29310	0.0006561679790026247	19	1352.0	0.0007847151142954623	False	0.009247779846191406	polya
71	23	29381	0.000676132521974307	19	1353.0	0.0007828188284946054	False	0.009241104125976562	polya
72	3488	29381	0.0019723865877712033	19	1353.0	0.11871617712126885	False	0.17237567901611328	polya
74	27	29719	0.0007390983000739098	19	1375.0	0.0009085097075944682	False	0.009915351867675781	polya
75	34	30248	0.0009560229445506692	19	1402.0	0.00112404125892621	False	0.010525703430175781	polya
76	26	30388	0.0007990411506192569	19	1406.0	0.0008556008950901672	False	0.008893013000488281	polya
77	46	30464	0.0014124293785310734	19	1411.0	0.0015099789915966387	False	0.011251449584960938	polya
78	21	30596	0.0006501950585175553	19	1415.0	0.0006863642306183815	False	0.008836746215820312	polya
79	26	30681	0.0007062146892655367	19	1416.0	0.0008474300055408885	False	0.008830070495605469	polya
80	32	30916	0.0007892659826361484	19	1420.0	0.0010350627506792599	False	0.009601593017578125	polya
81	20	30991	0.0006273525721455458	19	1424.0	0.0006453486496079507	False	0.007982254028320312	polya
82	33	31048	0.0009302325581395349	19	1425.0	0.0010628703942282918	False	0.0095672607421875	polya
83	64	31074	0.0018726591760299626	19	1426.0	0.0020595996653150544	False	0.012692451477050781	polya
84	17	31108	0.0006418485237483953	19	1427.0	0.0005464832197505465	False	0.007966041564941406	polya
85	33	31231	0.0006406149903907751	19	1429.0	0.0010566424386026705	False	0.009540557861328125	polya
86	32	31399	0.0011135857461024498	19	1436.0	0.0010191407369661454	False	0.009494781494140625	polya
87	29	31547	0.0007727975270479134	19	1444.0	0.0009192633213934764	False	0.009442329406738281	polya
88	72	31635	0.0019120458891013384	19	1447.0	0.002275960170697013	False	0.013272285461425781	polya
89	47	31678	0.001260239445494644	19	1450.0	0.001483679525222552	False	0.010949134826660156	polya
